Seq,Priority,Effort (hours),As a…,I want to…,So that…,Initials,Review by Team,Review
1,1,2,School Coach,Be able to know if my players had been exposed to COVID during games and practices to enact COVID precautions for my team.,Prevent the spread of COVID among athletes. ,EO,TRUE,
2,3,1,Parent,Be able to lower my child's risk from COVID exposure so I can not put other members of my family at risk of getting COVID. ,Be able to take COVID percautions for my family if my child has COVID. ,EO,TRUE,
3,3,2,School Admintrator,I want teachers to be able to keep track of the spread of COVID among students to visualize the spread of COVID in s school.,Be able to understand the spread of COVID to enforce or remove COVID protocols in the school.,EO,TRUE,
4,1,1.5,School District Official,Be able to track to spread of COVID within specific schools to know what schools to enforce COVID protocols. ,Be able to control the spread of COVID within schools with high COVID exposure.,EO,TRUE,
5,1,1,State Offical,Have a list of school districts based on the spread of COVID at the individual school districts. ,Know what school districts have the most spread in COVID. ,EO,TRUE,
6,1,4,Student,"Be able to track COVID among students, teachers, and admintrators of the school I had been close to. ","Avoid COVID exposure from students, teachers, and admintrators of the school I had been close to and to be notified if I had been exposed to COVID. ",EO,TRUE,
7,1,2,Student ,Know if I got exposed to COVID to prevent the spread of COVID to my peers. ,Prevent the further spread of COVID in my school. ,EO,TRUE,
8,2,0.25,Teacher,Submit a classroom layout has a excel or google sheets file into a google form,I don't know how to convert a excel or a google sheets to a csv file because I am not that familiar with technology. ,EO,TRUE,
9,1,2,Teacher,Enforce COVID precautions in my class based on the spread of COVID among my students.,More effectivity enforce COVID precautions. ,EO,TRUE,
10,1,0.25,Teacher ,I want to be able to use student ids to track the spread of COVID among students. ,I have a unique identifier to track specific students to visualize the spread or COVID among certain students. ,EO,TRUE,
11,2,0.25,Parent,Be notified of COVID protocols that my family may need to take,I can keep my family safe in the event of an exposure,JR,TRUE,
12,1,1,Parent,Know the risk level of my student's specific classes,I can be aware of my student's risk in case someone in high-risk classes tests positive.,JR,TRUE,
13,1,2,School Administrator,Be able to retrieve an ordered list of at-risk students,I can notify families as soon as possible.,JR,TRUE,
14,2,3,School Administrator,"Track the spread of, and the total number of COVID cases in my school",I can make an informed decision and take action in the event of a larger-scale COVID outbreak,JR,TRUE,
15,3,3,School District Official,Visualize the potential spread of COVID from students across high-schools,Track the potential spread of COVID in area high schools and improve student safety/health.,JR,TRUE,
16,2,2,School District Official,Keep track of COVID cases throughout the district,I can make the overall decision on how to adjust the school environment to curb COVID cases,JR,TRUE,
17,3,3,School District Official,Keep track of COVID cases in multiple and (specific) high schools,I can allocate COVID relief resources to the correct neighborhoods and school zones,JR,TRUE,
18,1,1,Student,Make sure school officials know if I test positive for COVID,My school can monitor the spread of COVID,JR,TRUE,
19,2,2,Teacher,Visualize how COVID could spread in my classroom in the event of a positive test,I can revise the layout of my classroom and make it so my students are less at-risk,JR,TRUE,
20,2,2,Teacher,Know in advance if the majority my students have been exposed to COVID,I can create lessons that accomodate for a high number of student absences,JR,TRUE,
21,1,0.25,Parent,Inform my student's school if they have been vaccinated or not,School officials can include these additional parameters to make sure other students who are at further risk are notified immediatelly,NE,TRUE,
22,3,4,Parent,"View where my student is sitting in a class, and the COVID status people around them ","I can view the safety of my own student, and also understand how my student is sitting in a class/how at risk they are compared to those with COVID",NE,TRUE,
23,1,2,School Administrator,Ensure that teachers are submitting classroom layouts in an easily accessible manner,It is easy to determine the students most at risk of the transmission of a disease,NE,TRUE,
24,3,5,School Administrator,Easily visualize and potentially predict COVID spread in the local area,Manage and adjust school COVID protocols in the case of a sudden increase/decrease in COVID spread surrounding the school,NE,TRUE,
25,2,2,School District Official,Be alerted if a large number of students test positive for COVID in one day,I can quickly review district COVID policies and/or change the type of learning,NE,TRUE,
26,2,2,Student,Know my risk level of COVID due to a student next to me,"I can take the appropriate COVID precautions (i.e. masks, sanitizer, etc.)",NE,TRUE,
27,1,0.5,Student,"Inform my school if I don't test positive, but have come in contact with someone with COVID outisde of my school",The school officials can make informed and accurate predictions of students that are at risk of COVID,NE,TRUE,
28,1,0.3,Student,Be informed whenever a person on campus tests positive (not necessarily close to me),I can make personal decisions regarding my school attendance/COVID precautions according to general trends/frequency of COVID spread,NE,TRUE,
